timestamp_utc,run_id,epoch,seed,rows_ingested,emulator_rows,padding_rows,backend,query_shape,es_large_compression,cache_mode,repeat_count,mean_elapsed_ms,median_elapsed_ms,p90_elapsed_ms,p100_elapsed_ms,min_elapsed_ms,max_elapsed_ms,std_elapsed_ms,mean_es_took_ms,median_es_took_ms,json_path
2026-05-27T21:58:02.318704+00:00,1,4,1001,1000000,0,1000000,es_default,p100,1000,es_cache_disabled,10,779.6902,780.1152,787.2679,790.8532,762.9407,790.8532,7.8287,21.9500,21.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318753+00:00,1,4,1001,1000000,0,1000000,es_large,p100,1000,es_cache_disabled,10,1643.6774,1592.2405,1725.6572,1814.2575,1585.0367,1814.2575,78.7446,49.4633,48.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318801+00:00,1,4,1001,1000000,0,1000000,server,all_quantile,1000,na,10,3.7799,3.5719,3.8193,5.7625,3.5037,5.7625,0.6973,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318848+00:00,1,4,1001,1000000,0,1000000,es_default,all_quantile,1000,es_cache_disabled,10,768.4641,767.4255,779.0940,782.8505,753.8831,782.8505,8.9101,21.3267,20.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318896+00:00,1,4,1001,1000000,0,1000000,es_large,all_quantile,1000,es_cache_disabled,10,1591.0764,1591.4229,1601.2304,1603.7698,1581.0181,1603.7698,7.3416,48.5133,48.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318942+00:00,1,4,1001,1000000,0,1000000,server,sum,1000,na,10,3.2015,2.8866,4.0588,5.0512,2.8254,5.0512,0.7329,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.318984+00:00,1,4,1001,1000000,0,1000000,es_default,sum,1000,es_cache_disabled,10,244.6686,244.9010,246.3228,247.0087,242.2072,247.0087,1.5600,4.1633,4.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.319028+00:00,1,4,1001,1000000,0,1000000,es_large,sum,1000,es_cache_disabled,10,244.3405,243.6650,246.8378,249.3810,241.9412,249.3810,2.1684,4.1367,4.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.319071+00:00,1,4,1001,1000000,0,1000000,server,all_in,1000,na,10,3.6746,3.6540,3.8011,3.9065,3.5592,3.9065,0.1044,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.319125+00:00,1,4,1001,1000000,0,1000000,es_default,all_in,1000,es_cache_disabled,10,867.8472,865.6605,878.7150,891.8215,855.5632,891.8215,10.6066,24.8033,24.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T21:58:02.319173+00:00,1,4,1001,1000000,0,1000000,es_large,all_in,1000,es_cache_disabled,10,1777.2790,1785.4612,1791.1139,1791.5578,1694.6855,1791.5578,29.2128,54.5233,54.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch04.json
2026-05-27T22:01:40.774326+00:00,1,5,1001,1000000,0,1000000,server,p50,1000,na,10,3.3471,3.1385,3.4342,5.3225,3.0390,5.3225,0.6972,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch05.json
2026-05-27T22:01:40.774496+00:00,1,5,1001,1000000,0,1000000,es_default,p50,1000,es_cache_disabled,10,788.7326,783.8889,808.6815,816.5804,767.5397,816.5804,15.3558,22.1033,22.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch05.json
