group,epoch,node,agg_name,time_ns,build_ns,collect_ns,post_ns,reduce_ns
all,3,N015,mem_pct,10812380,60217,10722526,84,0
all,3,N015,net_pct,10544106,61391,10432791,83,0
all,3,N015,cpu_sum,4289993,1466,4274026,2639,0
all,3,N015,mem_sum,4380238,309,4360178,123,0
all,3,N015,net_sum,4331632,243,4294929,100,0
all,3,N016,cpu_pct,13989128,45815,13901063,838,0
all,3,N016,mem_pct,12277688,49228,12202042,101,0
all,3,N016,net_pct,22358444,44713,22285695,82,0
all,3,N016,cpu_sum,4614078,1352,4590036,112,0
all,3,N016,mem_sum,4355986,364,4342702,94,0
all,3,N016,net_sum,4399435,238,4370862,81,0
all,3,N017,cpu_pct,27360567,25811,27294502,810,0
all,3,N017,mem_pct,16748819,73332,16646270,100,0
all,3,N017,net_pct,17784153,75010,17683351,79,0
all,3,N017,cpu_sum,4278728,1407,4253081,185,0
all,3,N017,mem_sum,4286546,317,4267758,83,0
all,3,N017,net_sum,4283734,225,4266956,89,0
all,3,N018,cpu_pct,29242153,64306,29131909,728,0
all,3,N018,mem_pct,12124101,29338,12076789,94,0
all,3,N018,net_pct,18764508,27346,18704715,88,0
all,3,N018,cpu_sum,4280718,1212,4258657,272,0
all,3,N018,mem_sum,4369912,258,4350635,100,0
all,3,N018,net_sum,4290359,234,4272790,88,0
all,3,N019,cpu_pct,9675801,94081,9534759,579,0
all,3,N019,mem_pct,16982733,54141,16906992,94,0
all,3,N019,net_pct,18643331,47745,18547965,88,0
all,3,N019,cpu_sum,4317606,928,4290329,175,0
all,3,N019,mem_sum,4337697,375,4315915,88,0
all,3,N019,net_sum,4327871,224,4310872,84,0
all,3,N020,cpu_pct,11499555,32104,11432882,542,0
all,3,N020,mem_pct,21140798,43297,21078598,76,0
all,3,N020,net_pct,15752368,30352,15695378,73,0
all,3,N020,cpu_sum,3592825,990,3567253,244,0
all,3,N020,mem_sum,3578098,369,3560339,90,0
all,3,N020,net_sum,3604376,192,3580496,74,0
all,3,N021,cpu_pct,9204666,45730,9110576,626,0
all,3,N021,mem_pct,35898070,77951,35800226,94,0
all,3,N021,net_pct,27941483,84516,27831752,90,0
all,3,N021,cpu_sum,4353194,1182,4327536,242,0
