request_id,request_type,status,total_ms,estimate_ms,json_ms
c5fb4ebc,node_metrics,200 OK,257.918,124.101,2.365
578d18ed,node_metrics,200 OK,259.935,125.992,2.364
7376ce43,node_metrics,200 OK,260.983,125.967,2.343
dfaaba68,node_metrics,200 OK,205.141,97.369,2.353
1db00daf,node_metrics,200 OK,259.928,126.062,2.368
14a59a62,node_metrics,200 OK,260.361,125.765,2.373
a11225c0,node_metrics,200 OK,261.349,125.623,2.427
30efc54d,node_metrics,200 OK,260.953,125.804,2.508
917739eb,node_metrics,200 OK,206.549,98.655,2.373
07a3b5b9,node_metrics,200 OK,259.845,125.680,2.499
a04ee204,node_metrics,200 OK,260.710,126.227,2.374
f004039f,node_metrics,200 OK,260.302,125.723,2.398
66b195e7,node_metrics,200 OK,261.605,126.046,2.434
98874d8f,node_metrics,200 OK,257.726,124.794,2.355
14b98a96,node_metrics,200 OK,260.781,126.326,2.350
d1c217e4,node_metrics,200 OK,216.462,103.324,1.583
234a3b4f,node_metrics,200 OK,258.985,125.802,2.349
cfbd8c7d,node_metrics,200 OK,260.296,125.790,2.326
f81450b6,node_metrics,200 OK,211.543,101.812,1.470
b3d5551e,node_metrics,200 OK,205.101,97.925,2.374
ed574b22,node_metrics,200 OK,248.869,120.159,2.358
8b1caa0f,node_metrics,200 OK,217.922,105.308,1.597
5789b6bb,node_metrics,200 OK,205.184,98.072,2.359
ba8a295c,node_metrics,200 OK,160.200,76.393,1.659
40140efe,node_metrics,200 OK,252.740,121.941,2.429
1eb8ebf3,node_metrics,200 OK,258.791,125.117,2.374
3d28d206,node_metrics,200 OK,261.461,126.242,2.393
567ee868,node_metrics,200 OK,259.227,125.881,2.348
d300ff1e,node_metrics,200 OK,262.155,126.643,2.329
21797f10,node_metrics,200 OK,258.558,125.388,2.402
9c479ce8,node_metrics,200 OK,204.295,97.926,2.402
3be82840,node_metrics,200 OK,260.563,125.751,2.365
ebd9221a,node_metrics,200 OK,261.685,126.408,2.343
6fa5272a,node_metrics,200 OK,123.373,57.954,1.324
9047dc43,node_metrics,200 OK,262.725,126.693,2.368
e4402422,node_metrics,200 OK,162.723,77.687,1.708
f9176e36,node_metrics,200 OK,261.497,125.799,2.351
05ce195b,node_metrics,200 OK,202.185,96.691,2.358
28249fef,node_metrics,200 OK,203.549,97.320,2.365
b0c6960b,node_metrics,200 OK,203.778,96.557,3.565
9bdd3bf1,node_metrics,200 OK,207.248,98.675,2.430
fce365db,node_metrics,200 OK,192.936,92.605,1.638
c66f78cc,node_metrics,200 OK,260.583,125.826,2.405
133b2b91,node_metrics,200 OK,260.968,125.978,2.338
25014ed3,node_metrics,200 OK,261.164,126.031,2.406
f5742992,node_metrics,200 OK,234.320,112.575,2.317
f09657c5,node_metrics,200 OK,261.566,125.858,2.348
ec28cbee,node_metrics,200 OK,261.932,126.408,2.408
3df4eba6,node_metrics,200 OK,261.880,126.232,3.960
4fed2255,node_metrics,200 OK,261.699,126.122,2.369
ff13827d,node_metrics,200 OK,258.840,125.546,2.392
beaec3c0,node_metrics,200 OK,262.061,125.681,2.407
241d5637,node_metrics,200 OK,247.897,119.419,2.369
8878d42e,node_metrics,200 OK,269.861,129.421,3.940
80a8f654,node_metrics,200 OK,206.579,98.533,2.367
e6888641,node_metrics,200 OK,260.721,125.953,2.409
bb6a2cb9,node_metrics,200 OK,256.721,123.667,2.335
d9388a08,node_metrics,200 OK,250.125,120.868,2.443
6d9db35a,node_metrics,200 OK,262.735,126.617,2.400
5800d638,node_metrics,200 OK,198.305,95.433,1.472
4d5b2a8a,node_metrics,200 OK,244.976,118.317,2.382
315f2a73,node_metrics,200 OK,212.244,102.331,1.580
402093d3,node_metrics,200 OK,262.057,125.483,2.444
a26556df,node_metrics,200 OK,210.907,101.329,1.608
6d8ee829,node_metrics,200 OK,251.455,120.343,3.417
3cdc0c5d,node_metrics,200 OK,261.029,126.213,2.388
5f81555b,node_metrics,200 OK,262.542,125.352,2.417
7ae9f2d2,node_metrics,200 OK,211.047,102.314,1.592
0c0218ac,node_metrics,200 OK,162.201,76.952,1.688
4fbbe732,node_metrics,200 OK,206.191,98.534,2.378
2adc67c9,node_metrics,200 OK,186.613,87.724,2.379
83eff07e,node_metrics,200 OK,259.395,125.019,2.437
4bc07409,node_metrics,200 OK,205.097,98.585,2.381
94c24243,node_metrics,200 OK,204.115,97.626,2.356
4aabfb8d,node_metrics,200 OK,206.338,98.484,2.415
d6d4bab9,node_metrics,200 OK,261.330,125.885,2.479
f7dcf95f,node_metrics,200 OK,202.738,97.456,1.484
15735678,node_metrics,200 OK,262.256,125.827,2.346
871226d4,node_metrics,200 OK,262.612,126.420,2.397
b61a35e0,node_metrics,200 OK,260.669,125.663,2.372
226c486f,node_metrics,200 OK,156.596,74.179,1.619
ce256e2a,node_metrics,200 OK,225.925,107.954,2.376
a8ca97fe,node_metrics,200 OK,258.719,125.302,2.398
99e904a4,node_metrics,200 OK,233.511,112.234,2.025
be0b9383,node_metrics,200 OK,261.434,126.544,2.377
d4b5802e,node_metrics,200 OK,207.807,98.830,2.367
2ca0b515,node_metrics,200 OK,261.428,126.024,2.386
5d7a9753,node_metrics,200 OK,260.633,125.670,2.367
98b69127,node_metrics,200 OK,261.819,125.789,2.406
23f7425b,node_metrics,200 OK,259.639,125.233,2.453
d4b64ea6,node_metrics,200 OK,262.192,126.164,2.404
b5dcd60b,node_metrics,200 OK,283.918,136.865,2.416
ae7c7da4,node_metrics,200 OK,218.024,104.441,1.702
7e128c5c,node_metrics,200 OK,260.466,125.358,2.391
b731042e,node_metrics,200 OK,206.598,98.617,2.348
28f13459,node_metrics,200 OK,207.234,99.848,1.530
e9a91631,node_metrics,200 OK,260.487,126.250,2.398
4b339ec0,node_metrics,200 OK,260.647,125.995,2.644
38491a42,node_metrics,200 OK,204.064,98.042,2.394
899c4eb7,node_metrics,200 OK,205.442,98.129,2.388
b52650e8,node_metrics,200 OK,205.273,98.512,2.372
6f9f8c14,node_metrics,200 OK,259.563,125.397,2.400
df8e8797,node_metrics,200 OK,203.827,97.749,1.603
6df167e8,node_metrics,200 OK,209.787,99.472,2.477
1ea577a5,node_metrics,200 OK,206.013,98.522,1.597
2d115658,node_metrics,200 OK,205.420,98.436,2.332
b90acb0c,node_metrics,200 OK,192.870,92.381,1.662
78af5317,node_metrics,200 OK,263.093,126.696,2.442
1b9bc76a,node_metrics,200 OK,260.961,125.788,2.360
